time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1779786658239705300,37.27270532226562,0.8323372656873773,0.30469312159540496,0.26568372863588097,-1.7105669088939022,0.5997952213296281,-0.6905215458185248,-0.001413721854006461
1779786658249788200,37.2827880859375,0.8328612810753148,0.3048905077763296,0.2658222498061684,-1.7113016229585414,0.5994304938157083,-0.6906977663521366,-0.0016843338998694902
1779786658259870200,37.2928701171875,0.8331357637775705,0.3050085647169496,0.26587829477859265,-1.7123593701396207,0.5989687181240247,-0.6910245794932811,-0.0020756971313449697
1779786658269953300,37.302953369140624,0.8333657061105859,0.305127053394115,0.265902922939304,-1.7135217310038462,0.5984773469610276,-0.6913884056018853,-0.0024611395536861314
1779786658280035300,37.313035400390625,0.8333624992471685,0.3051126122724146,0.2659180050031498,-1.7144165169594239,0.5981006680460801,-0.6917148772084545,-0.0029027699742008735
1779786658290118100,37.3231181640625,0.8329796584365262,0.30489908722906167,0.2658975534969041,-1.7149601668095833,0.5978849959645987,-0.6920033452135228,-0.003414820569483483
1779786658300200200,37.3332001953125,0.832362170646914,0.3045523480175442,0.26586684598186555,-1.7152803175516917,0.5977662641765096,-0.6922703235200759,-0.0040012269974703885
1779786658310283300,37.343283203125,0.8316405327955546,0.3041524041686708,0.2658247428201414,-1.7155544687776085,0.5976716439473905,-0.6925439292612587,-0.004624105433990727
1779786658320365300,37.353365234375,0.8308203911915328,0.30370593739841845,0.2657674258944547,-1.715782916282215,0.5976026953490374,-0.6928212401548619,-0.005267685998031985
1779786658330448100,37.3634482421875,0.8299825354778192,0.30324667094676533,0.26571216076093823,-1.7158831768238212,0.5975861106667614,-0.6930580039513806,-0.005875916010028968
1779786658340530200,37.3735302734375,0.8293073007955697,0.3028392781501156,0.26571026007572746,-1.7158013270158479,0.5976210194412674,-0.693206732978833,-0.006418090404358503
1779786658350613200,37.38361328125,0.828723758684961,0.302445953076458,0.2657554060536502,-1.7154093608168333,0.5977634547666665,-0.6932384210183337,-0.0068814948691130265
1779786658360696300,37.3936962890625,0.8281948302741772,0.3020543072343064,0.265836045902761,-1.7147689624726878,0.597992701222868,-0.6931804801212675,-0.007292238296144523
1779786658370778400,37.4037783203125,0.8277716830200318,0.30173269227866234,0.2659095507289249,-1.714101598650116,0.5982361460377613,-0.6930822229531448,-0.007579631698377867
1779786658380861200,37.41386108398437,0.827455659322832,0.30146232856109256,0.26599831505406174,-1.7133228211725329,0.5985189578590223,-0.6929217504020017,-0.0077702768852364705
1779786658390943200,37.42394311523437,0.8272511762544421,0.3012481900499155,0.266099673579738,-1.7123483677946663,0.5988766557109427,-0.6926667864667778,-0.00781587394016117
1779786658401026300,37.4340263671875,0.827299530470456,0.3011884915847028,0.26619987004694723,-1.711406548169083,0.599221199712109,-0.6923562039485783,-0.0076532792128501306
1779786658411108400,37.4441083984375,0.827656184153803,0.3013399070413015,0.2662732711941894,-1.7107435715035295,0.5994622021406212,-0.6920533614159748,-0.007266920193249612
1779786658421191200,37.454191162109375,0.8282240965228134,0.3016731717140054,0.2662859414489669,-1.710402512530588,0.5995971779522259,-0.6917863295117145,-0.006661232485820078
1779786658431273200,37.464273193359375,0.8290601172241877,0.30218035308391605,0.266286406386935,-1.7103789762119324,0.5996064099362409,-0.6915567437948055,-0.005925801584528732
1779786658441356300,37.47435620117187,0.8301522510303418,0.3028230354817563,0.26630996995759454,-1.7106457793089296,0.5994855616624069,-0.6913713201811534,-0.005162098919718923
1779786658451438000,37.48443798828125,0.8313021333347734,0.30345293281204055,0.2663880267460315,-1.710913005629328,0.599340357006263,-0.6911909570544149,-0.004506827393238178
1779786658461521200,37.49452124023438,0.8323878624654637,0.30398517107726153,0.26653301674642776,-1.710978447398589,0.5992486653660708,-0.6909805906365583,-0.0040128773229378785
1779786658471603200,37.50460327148438,0.8333327586992397,0.30438535326329025,0.2667311894353268,-1.7108305337801617,0.5992215264922645,-0.6907514534257385,-0.003701409956039787
1779786658481686300,37.514686279296875,0.8340763982216981,0.30462761038553043,0.2669703376812545,-1.710492534928571,0.5992546899412243,-0.6905235083235771,-0.0035995477428103135
1779786658491769300,37.52476928710937,0.834554466169703,0.3047152661237947,0.26720197738169943,-1.7100305832675256,0.599342298283394,-0.6903191711913701,-0.0036518074088786627
1779786658501851400,37.53485131835937,0.8346699298921392,0.30465358387411434,0.26735261643518454,-1.7095584766524607,0.5994701832349528,-0.6901770350196598,-0.003779801735836452
1779786658511934200,37.54493432617188,0.8344378663326298,0.30446738312946914,0.2674042931684528,-1.7091056360780985,0.5996342001205064,-0.6900967107769761,-0.0039315449634743154
1779786658522016300,37.55501635742188,0.8338970466940229,0.30416615052961704,0.2673730718296863,-1.7086670331077578,0.599829168381914,-0.69007212518935,-0.004117961186065689
1779786658532099300,37.565099365234374,0.8331541850786204,0.3037868787811989,0.2672905192714391,-1.7081728636380966,0.6000700762470276,-0.6900618284259468,-0.004307151189955996
1779786658542181400,37.575181396484375,0.8322398814110472,0.3033217653172466,0.267186573467336,-1.7073969922439747,0.6004363828232472,-0.689987931472276,-0.004460189878449281
1779786658552264200,37.58526416015625,0.8312102957442696,0.30278612966592544,0.26708239529620165,-1.706297140274285,0.6009362898376643,-0.6898283331864987,-0.004571676314605113
1779786658562346200,37.59534619140625,0.830180415744801,0.302246135935131,0.2669824315340426,-1.7050741441507158,0.6014845273500482,-0.6896258933904543,-0.004643263984498699
1779786658572429000,37.605428955078125,0.829285774204287,0.3017899004547408,0.26688051410153735,-1.7039905408569807,0.6019759279405433,-0.6894363605808475,-0.004653766763741034
1779786658582511000,37.615510986328125,0.8285977498078901,0.30146415804468646,0.2667733317259156,-1.7032345684765242,0.6023347223327579,-0.6893071747912863,-0.00461289970456057
1779786658592594200,37.62559423828125,0.8281267630227681,0.3012985006963739,0.2666348186120205,-1.7028391133884153,0.6025584616904829,-0.6892374500715843,-0.004449497464249395
1779786658602677200,37.63567724609375,0.8279654003233295,0.3012980413531363,0.26652311847931914,-1.7026530521597383,0.602684424436555,-0.6891708081992519,-0.00418464487185366
1779786658612759300,37.64575927734375,0.8281168768187606,0.3014210447572855,0.26648794044801744,-1.7025396452776094,0.6027466438286264,-0.6890762947944706,-0.00390000889567489
1779786658622842400,37.65584228515625,0.8285753130361293,0.3016356238769206,0.26656144603448195,-1.702416222679328,0.602764805743096,-0.6889380356093144,-0.0036579696953288393
1779786658632924400,37.66592431640625,0.8293596519297144,0.3019395749270943,0.2667592152243132,-1.702307512976865,0.6027219356399426,-0.6887657861613657,-0.003498038220626373
1779786658643007200,37.67600732421875,0.8303918400883267,0.3023059732552104,0.26705772116626164,-1.7022756785613176,0.6026027816208235,-0.6885935972700861,-0.003447639854792497
1779786658653089300,37.68608935546875,0.8315009914245609,0.30266819574264353,0.26741429715462717,-1.7023398828651477,0.6024181319206335,-0.6884575516128553,-0.0035411738295471444
1779786658663172400,37.69617236328125,0.8326398624942194,0.3030147572817736,0.2678092010378544,-1.7025108762288315,0.6021723982176084,-0.6883666178839793,-0.003767590651214333
1779786658673254100,37.70625415039063,0.8336701024201398,0.3033095850428211,0.2681877993135058,-1.702854405923155,0.6018624571744704,-0.6883603812609602,-0.004118418935413992
1779786658683337200,37.716337158203125,0.8344636859429442,0.30352992946751717,0.2684873567166441,-1.703381609302317,0.6015118609789938,-0.6884529630861022,-0.004528142566013226
1779786658693419300,37.726419189453125,0.8348791949685067,0.30362252200336765,0.26867062829663013,-1.7039952369816143,0.6011772622434964,-0.688632870659617,-0.004968959432466846
1779786658703502000,37.73650219726562,0.8348663437416501,0.3035793742547111,0.2687119808951954,-1.7047396375548494,0.6008521506872143,-0.6889195618490069,-0.005429267106341623
1779786658713585400,37.74658544921875,0.8345488974853468,0.30345143525577095,0.2686394244416622,-1.7057445625755019,0.6004702641026981,-0.6893370357870715,-0.0059391170546976655
1779786658723667200,37.75666723632813,0.833923405614332,0.3032238539854671,0.26846714895893364,-1.7068031447535748,0.60011063240463,-0.6898172418227699,-0.006450863619534139
1779786658733750300,37.766750244140624,0.8329357585917324,0.302868048616771,0.2681898628250641,-1.7077842507799965,0.5998299253822331,-0.6903254632275019,-0.006938000231297021
1779786658743832300,37.776832275390625,0.8316704324565807,0.30241618810783927,0.26782928960559016,-1.7086481063282923,0.599634486423566,-0.690833102724138,-0.007372393776939446
1779786658753915400,37.78691528320312,0.8302235183553192,0.3018914760773816,0.2674254544605325,-1.7093925033025281,0.5995074338897314,-0.6913290664222734,-0.007785689924082969
1779786658763997400,37.79699755859375,0.8287324126232121,0.30134536261134026,0.26701489878884394,-1.7100299651366462,0.5994273604353523,-0.6917953118274431,-0.008170090653777726
1779786658774080300,37.80708032226563,0.8273695122018772,0.30087588031828766,0.2666053436258968,-1.7105959451958759,0.5993761218333669,-0.6922019834473842,-0.008413957991188555
1779786658784162300,37.81716235351563,0.8262394049575011,0.3005382396723422,0.26620665478638056,-1.711182471694145,0.5993110349173936,-0.6925582787842224,-0.008495580573185677
1779786658794245000,37.8272451171875,0.8253890658750556,0.30034019063306977,0.26584239839195284,-1.7116950708868268,0.5992610023745998,-0.6928273900430306,-0.008401561535801322
1779786658804327200,37.8373271484375,0.8249109827636617,0.3003020152659877,0.2655534214513482,-1.7119528562073107,0.599282633553488,-0.6929361613937685,-0.008091660170820365
